id;title;address;coordonnees
227;"Jardin du peintre Van Beek";"1 rue des Auges 60650 Saint-Paul";49.42089758,2.007333711
228;"Jardin du château de Digeon";"7 rue du Coq Gaulois 80290 Morvillers-Saint-Saturnin";49.76606232,1.8006742
229;"Parc et jardin du château de Conteval";"124 route Nationale 62360 La Capelle-les-Boulogne";50.68488,1.66228
230;"Jardins de Plantbessin";"Le Château 14490 Castillon";49.20614479,-0.798220038
231;"Parc et jardin du château d’Acquigny";"1 Rue Aristide Briand 27400 Acquigny";49.17,1.18
232;"Jardin des Musées des impressions de Giverny";"99 rue Claude Monet 27620 Giverny";49.0761294,1.531002894
233;"Parc du château de Saint-Just";"3 rue du potager 27950 Saint Just";49.10950068,1.433517337
234;"Jardins du donjon de Ballon";"2 rue du Château 72290 Ballon-Saint Mars";48.178034,0.232834
235;"Jardin d'atmosphère du Petit Bordeaux";"Le Petit Bordeaux 72220 Saint-Biez-en-Belin";47.80997,0.237769
236;"Domaine de Valombreuse";"3 chemin de Valombreuse – Cabout 97170 Petit Bourg";16.18683644,-61.59444898
237;"Jardin du château de Touffou";"Château de Touffou 86300 Bonnes";46.616652,0.590063
238;"Jardins du château de Caudon";"Domme 24250 Domme";44.76454581,1.202638149
239;"Jardins de la chartreuse du Colombier";"Chartreuse du Colombier 24510 Paunat";44.905952,0.859036446
240;"Jardin du manoir d'Eyrignac";"Manoir d’Eyrignac 24590 Salignac-Eyvigues";44.93973426,1.315001249
241;"Les jardins du Logis de Forge";"Forge 16440 Mouthiers-sur-Boëme";45.56070247,0.125951171
242;"Les Fontaines Bleues du château de Beaulon";"25 rue Saint-Vincent 17240 Saint-Dizant du Gua";45.43384629,-0.704498291
243;"Jardins du phare de Chassiron";"Phare de Chassiron 17650 Saint-Denis d'Oléron";46.04667504,-1.410219669
244;"Les jardins de Sothys";"10 rue Bernard Mas 19220 Auriac";45.2041,2.14944
245;"Les jardins de Cadiot";"Camp-Redon 24370 Carlux";44.5239,1.2134
246;"Jardin d'Arsac";"Lieu-dit Arsac 19200 Saint-Fréjoux";45.32271,2.23294
247;"Parc et jardin du château de Rosanbo";"Château de Rosanbo 22420 Lanvellec";48.62591689,-3.552811146
248;"Jardin des simples de l'abbaye de Daoulas";"21 rue de l'Eglise 29460 Daoulas";48.36239766,-4.265651107
249;"Jardin du prieuré de Locmaria";"place Bérardier 29000 Quimper";47.9882,-4.112
250;"Jardin Rocambole";"La Lande aux Pitois 35150 Corps-Nuds";47.9793519,-1.6102305
251;"Jardin de la rue au Lin";"16 rue au Lin 22570 Gouarec";48.226081,-3.17909
